date,temperature,humidity,luminosity
15:36.4,22.7,27.1,86
15:38.7,22.7,27.1,86
15:40.9,22.7,27.1,86
15:43.2,22.7,27.1,86
15:45.5,22.7,27.1,86
15:47.8,22.7,27.1,86
15:50.0,22.7,27.1,86
15:52.3,22.7,27.1,86
15:54.6,22.7,27.1,87
15:56.9,22.7,27,87
15:59.2,22.7,27,86
16:01.4,22.7,27,87
16:03.7,22.7,27,87
16:06.0,22.7,27,86
16:08.3,22.7,27,87
16:10.5,22.7,27,87
16:12.8,22.7,27,87
16:15.1,22.7,27,87
16:17.4,22.7,27,87
16:19.6,22.7,27,86
16:21.9,22.7,27,86
16:24.2,22.7,27,86
16:26.5,22.7,27,86
16:28.7,22.7,27,86
16:31.0,22.7,27.1,86
16:33.3,22.7,27.1,86
16:35.6,22.7,27.1,86
16:37.9,22.7,27.1,87
16:40.1,22.7,27.1,83
16:42.4,22.7,27,85
16:44.7,22.7,27,86
16:47.0,22.7,27,87
16:49.2,22.7,27.1,87
16:51.5,22.7,27.1,87
16:53.8,22.7,27.2,87
16:56.1,22.7,27.2,87
16:58.3,22.7,27.2,87
17:00.6,22.7,27.2,87
17:02.9,22.7,27.2,87
17:05.2,22.7,27.2,87
17:07.4,22.7,27.2,88
17:09.7,22.7,27.2,87
17:12.0,22.7,27.2,87
17:14.3,22.7,27.2,87
17:16.6,22.7,27.2,86
17:18.8,22.7,27.3,88
17:21.1,22.7,27.3,88
17:23.4,22.7,28.2,88
17:25.6,22.7,28.4,88
17:27.9,22.7,28.4,89
17:30.2,22.7,28.3,88
17:32.5,22.7,28.1,88
17:34.8,22.7,28,89
17:37.0,22.7,27.8,89
17:39.3,22.7,27.7,88
17:41.6,22.7,27.7,91
17:43.9,22.7,27.6,90
17:46.1,22.7,27.5,91
17:48.4,22.7,27.5,90
17:50.7,22.7,28.4,90
17:53.0,22.7,28.2,89
17:55.2,22.7,28.1,89
17:57.5,22.7,27.9,89
17:59.8,22.7,27.8,89
18:02.1,22.7,27.7,89
18:04.3,22.7,27.6,89
18:06.6,22.7,27.8,88
18:08.9,22.7,27.9,89
18:11.2,22.7,28.3,88
18:13.5,22.7,28.3,89
18:15.7,22.7,28.2,90
18:18.0,22.7,28,89
18:20.3,22.7,28.1,89
18:22.6,22.7,28.6,89
18:24.8,22.7,28.6,89
18:27.1,22.7,28.4,89
18:29.4,22.7,28.2,90
18:31.7,22.7,29,90
18:33.9,22.7,29.1,89
